name,year,wins,losses
Boston Bruins,1990,44,24
Buffalo Sabres,1990,31,30
Calgary Flames,1990,46,26
Chicago Blackhawks,1990,49,23
Detroit Red Wings,1990,34,38
Edmonton Oilers,1990,37,37
Hartford Whalers,1990,31,38
Los Angeles Kings,1990,46,24
Minnesota North Stars,1990,27,39
Montreal Canadiens,1990,39,30
New Jersey Devils,1990,32,33
New York Islanders,1990,25,45
New York Rangers,1990,36,31
Philadelphia Flyers,1990,33,37
Pittsburgh Penguins,1990,41,33
Quebec Nordiques,1990,16,50
St. Louis Blues,1990,47,22
Toronto Maple Leafs,1990,23,46
Vancouver Canucks,1990,28,43
Washington Capitals,1990,37,36
Winnipeg Jets,1990,26,43
Boston Bruins,1991,36,32
Buffalo Sabres,1991,31,37
Calgary Flames,1991,31,37
Chicago Blackhawks,1991,36,29
Detroit Red Wings,1991,43,25
Edmonton Oilers,1991,36,34
Hartford Whalers,1991,26,41
Los Angeles Kings,1991,35,31
Minnesota North Stars,1991,32,42
Montreal Canadiens,1991,41,28
New Jersey Devils,1991,38,31
New York Islanders,1991,34,35
New York Rangers,1991,50,25
Philadelphia Flyers,1991,32,37
Pittsburgh Penguins,1991,39,32
Quebec Nordiques,1991,20,48
San Jose Sharks,1991,17,58
St. Louis Blues,1991,36,33
Toronto Maple Leafs,1991,30,43
Vancouver Canucks,1991,42,26
Washington Capitals,1991,45,27
Winnipeg Jets,1991,33,32
Boston Bruins,1992,51,26
Buffalo Sabres,1992,38,36
Calgary Flames,1992,43,30
Chicago Blackhawks,1992,47,25
Detroit Red Wings,1992,47,28
Edmonton Oilers,1992,26,50
Hartford Whalers,1992,26,52
Los Angeles Kings,1992,39,35
Minnesota North Stars,1992,36,38
Montreal Canadiens,1992,48,30
New Jersey Devils,1992,40,37
New York Islanders,1992,40,37
New York Rangers,1992,34,39
Ottawa Senators,1992,10,70
Philadelphia Flyers,1992,36,37
Pittsburgh Penguins,1992,56,21
Quebec Nordiques,1992,47,27
San Jose Sharks,1992,11,71
St. Louis Blues,1992,37,36
Tampa Bay Lightning,1992,23,54
Toronto Maple Leafs,1992,44,29
Vancouver Canucks,1992,46,29
Washington Capitals,1992,43,34
Winnipeg Jets,1992,40,37
Mighty Ducks of Anaheim,1993,33,46
Boston Bruins,1993,42,29
Buffalo Sabres,1993,43,32
Calgary Flames,1993,42,29
Chicago Blackhawks,1993,39,36
Dallas Stars,1993,42,29
Detroit Red Wings,1993,46,30
Edmonton Oilers,1993,25,45
